Survey_ID,Customer_ID,Model,Quality_Score,Service_Score,Price_Satisfaction,Overall_Satisfaction,Would_Recommend,Survey_Date
5455,10864,BMW X5,1,2,2,4,Yes,2024-12-20
5456,10037,BMW 530i,9,5,9,1,Yes,2024-04-19
5457,10549,BMW i7,5,6,8,2,Yes,2024-12-12
5458,10393,BMW X5,5,9,10,3,No,2024-10-30
5459,10624,BMW i7,7,2,8,5,Yes,2024-05-10
5460,10479,BMW 320i,5,8,1,7,Yes,2024-05-15
5461,10531,BMW 320i,9,1,6,9,No,2024-04-23
5462,10692,BMW 330i,4,2,1,3,No,2024-09-17
5463,10512,BMW X3,5,6,6,5,No,2024-09-23
5464,10044,BMW X7,9,5,6,4,Yes,2024-03-07
5465,10525,BMW X3,6,5,4,5,Yes,2024-09-29
5466,10304,BMW X7,1,1,2,9,Yes,2024-02-06
5467,10798,BMW 320i,5,7,6,2,No,2024-04-10
5468,10484,BMW X7,6,8,8,3,No,2024-08-11
5469,10001,BMW 330i,9,10,10,2,No,2024-09-18
5470,10728,BMW 320i,8,5,8,10,Yes,2024-04-20
5471,10954,BMW 320i,8,2,2,3,Yes,2024-12-25
5472,10601,BMW X7,1,4,6,6,Yes,2024-11-14
5473,10480,BMW 320i,2,2,6,7,No,2024-04-26
5474,10214,BMW X3,1,3,10,9,Yes,2024-05-13
5475,10114,BMW 320i,4,8,10,7,No,2024-09-23
5476,10611,BMW M440i,8,4,2,5,Yes,2024-04-02
5477,10408,BMW X7,8,3,1,4,Yes,2024-07-26
5478,10585,BMW M440i,1,7,6,7,Yes,2024-09-04
5479,10368,BMW i7,10,2,4,4,Yes,2024-05-19
5480,10909,BMW i7,3,3,2,1,No,2024-07-08
5481,10489,BMW 320i,8,5,1,9,No,2024-10-20
5482,10860,BMW M440i,7,8,5,6,No,2024-05-07
5483,10269,BMW M440i,7,2,1,8,Yes,2024-07-09
5484,10290,BMW 530i,6,10,6,8,Yes,2024-01-07
5485,10858,BMW X5,5,9,6,7,No,2024-10-22
5486,10293,BMW X7,4,8,10,9,Yes,2024-08-14
5487,10044,BMW X3,7,6,10,10,No,2024-12-01
5488,10868,BMW X7,3,2,2,10,No,2024-09-08
5489,10836,BMW X5,1,10,2,10,Yes,2024-07-12
5490,10180,BMW X3,1,7,7,10,Yes,2024-09-06
5491,10874,BMW 320i,8,10,7,7,Yes,2024-11-11
5492,10228,BMW 530i,8,2,7,3,No,2024-10-01
5493,10062,BMW M440i,3,5,8,4,Yes,2024-09-19
5494,10306,BMW X7,8,10,10,9,No,2024-04-03
5495,10581,BMW 320i,1,9,4,1,Yes,2024-10-26
5496,10195,BMW X7,8,10,2,8,No,2024-04-21
5497,10337,BMW i7,2,8,7,5,Yes,2024-01-29
5498,10048,BMW i7,10,2,9,5,No,2024-10-11
5499,10180,BMW X7,9,10,7,2,Yes,2024-04-03
5500,10370,BMW X5,2,5,9,2,Yes,2024-10-21
